Destination,Destination IP,Hop,IP,ASN,City,Region,Country,Loc,Postal,Timezone,RTT1,RTT2,RTT3
nationaltrust.org.uk,52.210.108.135,10,80.239.195.91,N/A,,,,,,,84.97,86.2,96.15
googletagmanager.com,142.251.40.232,13,108.170.236.91,N/A,,,,,,,7.0,6.22,6.88
v6velugu.com,51.158.30.124,12,51.158.8.65,N/A,,,,,,,85.06,85.5,87.5
microsoft.com,13.107.253.40,12,51.10.4.50,N/A,,,,,,,34.09,30.56,50.22
googletagmanager.com,142.251.40.232,14,142.251.40.232,N/A,,,,,,,8.47,6.97,5.82
mir-chitki.ru,195.161.62.201,15,217.106.6.166,N/A,,,,,,,117.6,128.95,119.49
live.com,204.79.197.212,10,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,13,51.10.22.138,N/A,,,,,,,48.14,34.09,33.06
fbcdn.net,57.144.180.1,12,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,11,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,13,51.158.1.73,N/A,,,,,,,91.2,90.14,90.19
mir-chitki.ru,195.161.62.201,16,195.161.62.201,N/A,,,,,,,117.21,118.65,120.36
syracuse.com,99.83.138.34,8,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,9,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,10,*,,,,,,,,*,*,*
list.ly,99.83.220.108,9,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,11,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,10,*,,,,,,,,*,*,*
office.com,13.107.6.156,11,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,12,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,12,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,13,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,11,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,13,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,12,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,13,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,10,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,10,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,11,*,,,,,,,,*,*,*
azure.com,20.231.239.246,14,*,,,,,,,,*,*,*
live.com,204.79.197.212,11,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,14,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,13,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,12,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,14,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,9,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,10,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,11,*,,,,,,,,*,*,*
list.ly,99.83.220.108,10,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,12,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,11,*,,,,,,,,*,*,*
office.com,13.107.6.156,12,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,13,198.27.73.204,N/A,,,,,,,17.19,25.25,25.41
mail.ru,217.69.139.200,13,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,13,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,14,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,12,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,14,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,13,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,14,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,11,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,11,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,12,*,,,,,,,,*,*,*
azure.com,20.231.239.246,15,*,,,,,,,,*,*,*
live.com,204.79.197.212,12,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,15,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,14,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,13,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,15,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,10,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,11,52.93.1.21,N/A,,,,,,,9.64,10.73,10.72
amazon.com,52.94.236.248,11,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,12,*,,,,,,,,*,*,*
list.ly,99.83.220.108,11,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,12,*,,,,,,,,*,*,*
office.com,13.107.6.156,13,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,14,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,14,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,14,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,15,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,13,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,15,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,14,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,15,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,12,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,12,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,13,*,,,,,,,,*,*,*
azure.com,20.231.239.246,16,*,,,,,,,,*,*,*
live.com,204.79.197.212,13,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,16,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,15,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,14,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,16,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,12,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,13,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,12,*,,,,,,,,*,*,*
list.ly,99.83.220.108,12,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,13,*,,,,,,,,*,*,*
office.com,13.107.6.156,14,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,15,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,15,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,15,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,16,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,14,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,16,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,15,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,16,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,13,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,13,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,14,*,,,,,,,,*,*,*
azure.com,20.231.239.246,17,*,,,,,,,,*,*,*
live.com,204.79.197.212,14,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,16,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,17,*,,,,,,,,*,*,*
